subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ROR:types	Organization Types Array	skos:closeMatch	schema:additionalType	additionalType	Close mapping - organizational type categorization alignment	https://orcid.org/0000-0002-0465-1009	0.88	ROR provides specific organizational categorization
ROR:types.education	Education Type	skos:exactMatch	schema:EducationalOrganization	EducationalOrganization	Direct semantic equivalence for educational institutions	https://orcid.org/0000-0002-0465-1009	0.95	Confirmed with UC System example record
ROR:types.funder	Funder Type	skos:exactMatch	schema:FundingAgency	FundingAgency	Semantic equivalence - both represent funding organizations	https://orcid.org/0000-0002-0465-1009	0.95	New in v2.0 - explicitly identifies funding agencies
ROR:types.healthcare	Healthcare Type	skos:narrowMatch	schema:MedicalOrganization	MedicalOrganization	Narrow mapping - healthcare to medical organization	https://orcid.org/0000-0002-0465-1009	0.88	Healthcare organizations map to medical organizations
ROR:types.company	Company Type	skos:narrowMatch	schema:Corporation	Corporation	Narrow mapping - company to corporation	https://orcid.org/0000-0002-0465-1009	0.90	Commercial organizations map to corporations
ROR:types.archive	Archive Type	skos:narrowMatch	schema:ArchiveOrganization	ArchiveOrganization	Narrow mapping - direct correspondence for archives	https://orcid.org/0000-0002-0465-1009	0.95	Archives and archival organizations
ROR:types.nonprofit	Nonprofit Type	skos:narrowMatch	schema:NGO	NGO	Narrow mapping - nonprofit to non-governmental organization	https://orcid.org/0000-0002-0465-1009	0.88	Nonprofit organizations typically map to NGOs
ROR:types.government	Government Type	skos:narrowMatch	schema:GovernmentOrganization	GovernmentOrganization	Narrow mapping - direct correspondence for government entities	https://orcid.org/0000-0002-0465-1009	0.95	Government organizations and agencies
ROR:types.facility	Facility Type	skos:broadMatch	schema:Organization	Organization	Conservative mapping due to semantic ambiguity of facility type	https://orcid.org/0000-0002-0465-1009	0.70	Facilities mapped to generic Organization to avoid assumptions
ROR:types.other	Other Type	skos:broadMatch	schema:Organization	Organization	Broad mapping - generic other type to base organization class	https://orcid.org/0000-0002-0465-1009	0.80	Catch-all for organizations not fitting specific categories
ROR:id	ROR Identifier	skos:exactMatch	schema:identifier	identifier	Primary identifier as PropertyValue with propertyID='ror' for structural consistency	https://orcid.org/0000-0002-0465-1009	0.95	ROR ID wrapped in PropertyValue structure to maintain uniform identifier array format
ROR:external_ids	External Identifiers Array	skos:exactMatch	schema:identifier	identifier	External identifiers as PropertyValue objects within identifier array	https://orcid.org/0000-0002-0465-1009	0.93	Array of external identifier objects mapped to PropertyValue structures
ROR:external_ids.type	External ID Type	skos:exactMatch	schema:propertyID	propertyID	Exact mapping - identifier type as propertyID in PropertyValue	https://orcid.org/0000-0002-0465-1009	0.95	Enum values (fundref, grid, isni, wikidata) become propertyID values
ROR:external_ids.all	All External IDs	skos:exactMatch	schema:value	value	Exact mapping - all identifier values as PropertyValue value array	https://orcid.org/0000-0002-0465-1009	0.95	Array of all identifiers of this type becomes PropertyValue value property
ROR:external_ids.preferred	Preferred External ID	skos:exactMatch	schema:valueReference	valueReference	Preferred identifier as nested PropertyValue in valueReference	https://orcid.org/0000-0002-0465-1009	0.90	Preferred identifier stored in valueReference with additionalType='preferred'
ROR:status	Organization Status	skos:relatedMatch	schema:additionalProperty	additionalProperty	Related mapping - status as structured property with name-value pair	https://orcid.org/0000-0002-0465-1009	0.80	PropertyValue with name='registryStatus' and value from ROR enum (active, inactive, withdrawn)
ROR:names[types=ror_display]	ROR Display Name Object	skos:exactMatch	schema:name	name	Primary organizational name with language context preserved	https://orcid.org/0000-0002-0465-1009	0.95	ror_display names map to schema:name; non-English handled via inLanguage in StructuredValue
ROR:names[types=label,lang=en]	English Legal Name Object	skos:exactMatch	schema:legalName	legalName	Official English organizational designation	https://orcid.org/0000-0002-0465-1009	0.93	English label names map directly to legalName property
ROR:names[types=label,lang≠en]	Non-English Legal Name Object	skos:exactMatch	schema:additionalProperty	additionalProperty	Official non-English names as StructuredValue with inLanguage	https://orcid.org/0000-0002-0465-1009	0.88	Non-English labels preserved in PropertyValue structure for multilingual support
ROR:names[types=alias|acronym]	Alternate Name Objects	skos:exactMatch	schema:alternateName	alternateName	Organizational aliases and acronyms as alternate names	https://orcid.org/0000-0002-0465-1009	0.94	Both aliases and acronyms function as alternate name variants
ROR:established	Year Established	skos:exactMatch	schema:additionalProperty	additionalProperty	Type-safe semantic preservation via PropertyValue structure	https://orcid.org/0000-0002-0465-1009	0.90	Numerical year preserved in PropertyValue due to ROR number type vs Schema.org Date type incompatibility
ROR:domains	Organization Domains Array	skos:exactMatch	schema:additionalProperty	additionalProperty	Exact mapping - registered domains as structured institutional metadata	https://orcid.org/0000-0002-0465-1009	0.92	Array of domain names preserved in PropertyValue structure for institutional identification
ROR:admin	Administrative Information Object	skos:exactMatch	schema:additionalProperty	additionalProperty	Exact mapping - admin metadata as PropertyValue containing array of StructuredValues	https://orcid.org/0000-0002-0465-1009	0.90	Administrative metadata with array of creation/modification StructuredValues for perfect structural preservation
ROR:admin.created	Creation Information Object	skos:exactMatch	schema:StructuredValue	StructuredValue	Exact mapping - creation metadata as structured object with semantic properties	https://orcid.org/0000-0002-0465-1009	0.92	Creation metadata as StructuredValue with dateCreated and version properties
ROR:admin.created.date	Creation Date	skos:exactMatch	schema:dateCreated	dateCreated	Semantic equivalence - specific creation date within StructuredValue	https://orcid.org/0000-0002-0465-1009	0.95	ISO date format for record creation within admin StructuredValue
ROR:admin.created.schema_version	Creation Schema Version	skos:exactMatch	schema:version	version	Semantic equivalence - direct version mapping within StructuredValue	https://orcid.org/0000-0002-0465-1009	0.95	Schema version (1.0, 2.0, 2.1) as proper version property within creation StructuredValue
ROR:admin.last_modified	Last Modified Information Object	skos:exactMatch	schema:StructuredValue	StructuredValue	Exact mapping - modification metadata as structured object with semantic properties	https://orcid.org/0000-0002-0465-1009	0.92	Modification metadata as StructuredValue with dateModified and version properties
ROR:admin.last_modified.date	Last Modified Date	skos:exactMatch	schema:dateModified	dateModified	Semantic equivalence - specific modification date within StructuredValue	https://orcid.org/0000-0002-0465-1009	0.95	ISO date format for record modification within admin StructuredValue
ROR:admin.last_modified.schema_version	Modification Schema Version	skos:exactMatch	schema:version	version	Semantic equivalence - direct version mapping within StructuredValue	https://orcid.org/0000-0002-0465-1009	0.95	Schema version (1.0, 2.0, 2.1) as proper version property within modification StructuredValue
ROR:links[type=website].value	Organization Website URLs	skos:exactMatch	schema:url	url	Semantic equivalence - official organization websites	https://orcid.org/0000-0002-0465-1009	0.94	Website URLs as primary organization URL array - semantic separation preserves intent
ROR:links[type=wikipedia].value	Wikipedia Reference URLs	skos:exactMatch	schema:sameAs	sameAs	Semantic equivalence - Wikipedia identity references	https://orcid.org/0000-0002-0465-1009	0.95	Wikipedia pages as external identity references - handles multiple pages in array
ROR:locations	Organization Locations Array	skos:exactMatch	schema:address	address	Semantic equivalence - location information maps to addresses	https://orcid.org/0000-0002-0465-1009	0.88	Array of location objects with geographic details
ROR:locations.geonames_id	GeoNames ID	skos:relatedMatch	schema:identifier	identifier	Related mapping - geographic identifier for location	https://orcid.org/0000-0002-0465-1009	0.82	Integer identifier referencing GeoNames database
ROR:locations.geonames_details	GeoNames Details Object	skos:exactMatch	schema:address	address	Semantic equivalence - detailed geographic information	https://orcid.org/0000-0002-0465-1009	0.85	Nested object containing location metadata
ROR:locations.geonames_details.name	Location Name	skos:exactMatch	schema:addressLocality	addressLocality	Semantic equivalence - location name to locality	https://orcid.org/0000-0002-0465-1009	0.92	Name of the geographic location
ROR:locations.geonames_details.lat	Latitude	skos:exactMatch	schema:latitude	latitude	Semantic equivalence - direct correspondence for coordinates	https://orcid.org/0000-0002-0465-1009	0.98	Decimal latitude coordinate
ROR:locations.geonames_details.lng	Longitude	skos:exactMatch	schema:longitude	longitude	Semantic equivalence - direct correspondence for coordinates	https://orcid.org/0000-0002-0465-1009	0.98	Decimal longitude coordinate
ROR:locations.geonames_details.continent_code	Continent Code	skos:relatedMatch	schema:addressRegion	addressRegion	Related mapping - continent as broader geographic region	https://orcid.org/0000-0002-0465-1009	0.75	Two-letter continent codes (AF, AN, AS, EU, NA, OC, SA) - new in v2.1
ROR:locations.geonames_details.continent_name	Continent Name	skos:relatedMatch	schema:addressRegion	addressRegion	Related mapping - continent name as geographic region	https://orcid.org/0000-0002-0465-1009	0.75	Continent names (Africa, Antarctica, Asia, Europe, etc.) - new in v2.1
ROR:locations.geonames_details.country_code	Country Code	skos:exactMatch	schema:addressCountry	addressCountry	Semantic equivalence - ISO country code	https://orcid.org/0000-0002-0465-1009	0.95	Two-letter ISO country codes
ROR:locations.geonames_details.country_name	Country Name	skos:exactMatch	schema:addressCountry	addressCountry	Semantic equivalence - country name	https://orcid.org/0000-0002-0465-1009	0.92	Full country names
ROR:locations.geonames_details.country_subdivision_code	Country Subdivision Code	skos:exactMatch	schema:addressRegion	addressRegion	Semantic equivalence - state/province code	https://orcid.org/0000-0002-0465-1009	0.88	1-3 character subdivision codes - new in v2.1
ROR:locations.geonames_details.country_subdivision_name	Country Subdivision Name	skos:exactMatch	schema:addressRegion	addressRegion	Semantic equivalence - state/province name	https://orcid.org/0000-0002-0465-1009	0.90	State, province, or region names - new in v2.1
ROR:relationships	Organization Relationships Array	skos:relatedMatch	schema:memberOf	memberOf	Related mapping - organizational relationships	https://orcid.org/0000-0002-0465-1009	0.75	Array of relationship objects to other organizations
ROR:relationships.type	Relationship Type	skos:relatedMatch	schema:parentOrganization	parentOrganization	Related mapping - parent relationship type	https://orcid.org/0000-0002-0465-1009	0.80	Enum: related, parent, child, successor, predecessor
ROR:relationships.type.parent	Parent Relationship	skos:exactMatch	schema:parentOrganization	parentOrganization	Semantic equivalence - direct parent relationship	https://orcid.org/0000-0002-0465-1009	0.95	Organization has parent organization
ROR:relationships.type.child	Child Relationship	skos:exactMatch	schema:subOrganization	subOrganization	Semantic equivalence - direct child relationship	https://orcid.org/0000-0002-0465-1009	0.95	Organization has child/subsidiary organization
ROR:relationships.type.related	Related Relationship	skos:relatedMatch	schema:affiliation	affiliation	Related mapping - general organizational affiliation	https://orcid.org/0000-0002-0465-1009	0.70	Related but not hierarchical relationship
