ROR Key,ROR Value Type,Schema.org Key,Schema.org Value Type
id,URI,schema:identifier,Text
names,array of objects,schema:name,Text
locations,array of objects,schema:address,PostalAddress
established,integer (year),schema:foundingDate,Date
external_ids,array of objects,schema:sameAs,URL
domains,array of text,schema:url,URL
links,array of objects,schema:url,URL
types,array of text,schema:additionalType,Text
relationships,array of objects,schema:parentOrganization,Organization
status,text,schema:dissolutionDate,Date
admin,object,schema:CreativeWork,Class
* (ROR Record),object,schema:ResearchOrganization,Class
* (ROR Record),object,schema:Organization,Class
names.value,text,schema:name,Text
links.value,URI,schema:url,URL
external_ids.all,array of text,schema:sameAs,URL
types.funder,text,schema:FundingAgency,Class
external_ids.preferred,text,schema:sameAs,URL
names.lang,text (ISO 639-3),schema:inLanguage,Text
admin.created,object,schema:dateCreated,Date
admin.last_modified,object,schema:dateModified,Date
locations.geonames_id,integer,schema:geoMidpoint,GeoCoordinates
relationships.label,text,schema:name,Text
relationships.id,URI,schema:parentOrganization,Organization
types.government,text,schema:GovernmentOrganization,Class
types.education,text,schema:EducationalOrganization,Class
types.company,text,schema:Corporation,Class
types.archive,text,schema:ArchiveOrganization,Class
types.healthcare,text,schema:MedicalOrganization,Class
types.nonprofit,text,schema:NGO,Class
types.facility,text,schema:ResearchOrganization,Class
types.other,text,schema:Organization,Class
names.types,array of text,schema:additionalProperty,PropertyValue
external_ids.type,text,schema:additionalProperty,PropertyValue
relationships.type,text,schema:parentOrganization,Organization
relationships.type,text,schema:subOrganization,Organization
relationships.type,text,schema:memberOf,Organization
relationships.type,text,schema:affiliation,Organization
links.type,text,schema:additionalProperty,PropertyValue
locations.geonames_details.lat,number (float),schema:latitude,Number
locations.geonames_details.lng,number (float),schema:longitude,Number
locations.geonames_details.country_code,text (ISO 3166-1),schema:addressCountry,Text
locations.geonames_details.country_name,text,schema:addressCountry,Text
admin.created.date,text (ISO 8601),schema:dateCreated,Date
admin.last_modified.date,text (ISO 8601),schema:dateModified,Date
locations.geonames_details.name,text,schema:addressLocality,Text
admin.created.schema_version,text,schema:version,Text
admin.last_modified.schema_version,text,schema:version,Text
